Fold,Holdout,Train_mAP50-95,Train_mAP50,Train_Precision,Train_Recall,Val_mAP50-95,Val_mAP50,Val_Precision,Val_Recall,Test_mAP50-95,Test_mAP50,Test_Precision,Test_Recall,Test_Recall_Atypisch,Test_Recall_Normal,Val_Recall_Atypisch,Val_Recall_Normal
1,G1,0.944277277171478,0.9949156939040207,0.9977266787597756,0.9960952226116688,0.8656257322436971,0.9730657218460029,0.9180173626939976,0.9455939799777375,0.69532196618167,0.8090963157282576,0.787368886600756,0.7318681318681319,0.8923076923076924,0.5714285714285714,0.8911879599554752,1.0
2,G2,0.8517682920301622,0.9755090269391427,0.973514349288198,0.9377944549358732,0.7339477700710993,0.8747063279038365,0.782274272292107,0.8914456077884526,0.6845528162536861,0.8545229997812671,0.8086292010260847,0.8913101304126659,0.9497716894977168,0.832848571327615,0.918918918918919,0.8639722966579862
3,G3,0.859111037745703,0.9765168365576706,0.9868796476872586,0.9450329164737143,0.7723397635219573,0.9031327052169136,0.8103768108448045,0.941569917598293,0.7802750429786104,0.8955386462635966,0.8549760924729379,0.9078393183137419,0.9051724137931034,0.9105062228343802,0.9595375722543352,0.9236022629422507
4,G4,0.9108086320160418,0.9943515927135396,0.98820465569024,0.9931141028470536,0.8396398518270942,0.9627303257154257,0.904010138897438,0.9247409026315656,0.7917801503221666,0.8956692630489606,0.8712671491280887,0.8640401530390059,0.8404814912490842,0.8875988148289277,0.9500086386352128,0.8994731666279185
