fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.73809,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,1.0,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,10
0.75214,0.01,0.00945,0.937,0.0005,3.0,0.59605,7.28417,1.23464,1.5,0.015,0.7,0.35851,0.0,0.11569,0.58876,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,10
0.743,0.01,0.01006,0.937,0.0005,2.4896,0.60202,7.28417,1.26536,1.5,0.01077,0.55021,0.33511,0.0,0.11851,0.60974,0.0,0.0,0.62955,0.5,0.0,0.0,0.0,0.0,0.0,10
0.77152,0.01038,0.00945,0.937,0.0005,3.0,0.61196,7.80963,1.23464,1.33352,0.015,0.68571,0.48664,0.0,0.1328,0.58876,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,10
0.7596,0.01056,0.00999,0.937,0.00043,2.61902,0.66534,6.61449,1.25406,1.3457,0.01088,0.62452,0.43441,0.0,0.0934,0.59039,0.0,0.0,0.63086,0.57469,0.0,0.0,0.0,0.0,0.0,10
0.73664,0.01048,0.0159,0.96982,0.00042,2.75854,0.61607,7.88907,1.13172,1.33735,0.01546,0.62058,0.51455,0.0,0.07897,0.5892,0.0,0.0,0.61444,0.60093,0.0,0.0,0.0,0.0,0.0,8
0.74969,0.01058,0.00847,0.93298,0.00047,2.81108,0.64855,7.13706,1.07924,1.56914,0.01183,0.9,0.18124,0.0,0.13796,0.5949,0.0,0.0,0.63734,0.49817,0.0,0.0,0.0,0.0,0.0,10
0.73629,0.0099,0.01011,0.937,0.00052,2.48961,0.54156,6.14387,1.12902,1.53561,0.01381,0.59831,0.4274,0.0,0.10384,0.60223,0.0,0.0,0.60377,0.56348,0.0,0.0,0.0,0.0,0.0,10
0.73132,0.01037,0.00943,0.95774,0.00047,2.72647,0.65313,6.86148,1.14027,1.5438,0.01524,0.63222,0.47978,0.0,0.09232,0.67183,0.0,0.0,0.56217,0.63768,0.0,0.0,0.0,0.0,0.0,10
0.77995,0.01017,0.00609,0.93434,0.00049,2.69817,0.66648,6.1713,0.90487,1.16422,0.0096,0.72335,0.37797,0.0,0.13652,0.48569,0.0,0.0,0.45989,0.64298,0.0,0.0,0.0,0.0,0.0,10
0.75416,0.01023,0.00995,0.95081,0.0005,2.99486,0.62406,5.51531,0.98573,1.71034,0.01329,0.4931,0.215,0.0,0.12324,0.58411,0.0,0.0,0.59939,0.48117,0.0,0.0,0.0,0.0,0.0,8
0.76107,0.01066,0.00877,0.93531,0.00043,3.01254,0.51128,6.95138,1.01575,1.19235,0.01338,0.60468,0.70947,0.0,0.13394,0.49421,0.0,0.0,0.63665,0.5294,0.0,0.0,0.0,0.0,0.0,10
0.7565,0.00986,0.01044,0.89906,0.0004,2.42929,0.53533,7.1118,0.61729,0.84946,0.01036,0.9,0.41791,0.0,0.14279,0.62449,0.0,0.0,0.5666,0.55689,0.0,0.0,0.0,0.0,0.0,10
0.74469,0.00976,0.00864,0.90159,0.00047,2.72559,0.59606,5.85309,0.62454,1.5325,0.01137,0.49632,0.61518,0.0,0.14802,0.54012,0.0,0.0,0.52023,0.49624,0.0,0.0,0.0,0.0,0.0,9
0.77996,0.01037,0.00594,0.9611,0.00064,2.71338,0.48609,7.47543,1.32114,1.39433,0.01062,0.74053,0.23515,0.0,0.14584,0.43168,0.0,0.0,0.39899,0.55062,0.0,0.0,0.0,0.0,0.0,8
0.7574,0.01074,0.00865,0.96078,0.00051,2.73574,0.48149,6.77652,0.91929,1.49984,0.0095,0.80777,0.53399,0.0,0.1015,0.61057,0.0,0.0,0.625,0.64045,0.0,0.0,0.0,0.0,0.0,8
0.7609,0.01,0.009,0.89827,0.00043,2.81227,0.65859,7.59046,0.60205,1.21164,0.00991,0.9,0.25474,0.0,0.19216,0.58556,0.0,0.0,0.63707,0.54392,0.0,0.0,0.0,0.0,0.0,9
0.73471,0.01486,0.00746,0.93241,0.00053,2.77487,0.50552,7.30063,0.47044,1.04386,0.01025,0.9,0.31724,0.0,0.10769,0.38544,0.0,0.0,0.61524,0.72337,0.0,0.0,0.0,0.0,0.0,10
